player_id,season,season_type,general_base_l,general_base_w,general_base_gp,general_base_pf,general_base_age,general_base_ast,general_base_blk,general_base_dd2,general_base_fga,general_base_fgm,general_base_fta,general_base_ftm,general_base_min,general_base_pfd,general_base_pts,general_base_reb,general_base_stl,general_base_td3,general_base_tov,general_base_blka,general_base_dreb,general_base_fg3a,general_base_fg3m,general_base_oreb,general_base_w_pct,general_base_fg_pct,general_base_ft_pct,general_base_l_rank,general_base_w_rank,general_base_fg3_pct,general_base_gp_rank,general_base_pf_rank,general_base_ast_rank,general_base_blk_rank,general_base_dd2_rank,general_base_fga_rank,general_base_fgm_rank,general_base_fta_rank,general_base_ftm_rank,general_base_min_rank,general_base_pfd_rank,general_base_pts_rank,general_base_reb_rank,general_base_stl_rank,general_base_td3_rank,general_base_tov_rank,general_base_blka_rank,general_base_dreb_rank,general_base_fg3a_rank,general_base_fg3m_rank,general_base_oreb_rank,general_base_plus_minus,general_base_team_count,general_base_w_pct_rank,general_base_fg_pct_rank,general_base_ft_pct_rank,general_base_fg3_pct_rank,general_base_nba_fantasy_pts,general_base_plus_minus_rank,general_base_nba_fantasy_pts_rank,general_advanced_l,general_advanced_w,general_advanced_gp,general_advanced_age,general_advanced_fga,general_advanced_fgm,general_advanced_min,general_advanced_pie,general_advanced_pace,general_advanced_poss,general_advanced_w_pct,general_advanced_ast_to,general_advanced_e_pace,general_advanced_fg_pct,general_advanced_fga_pg,general_advanced_fgm_pg,general_advanced_l_rank,general_advanced_ts_pct,general_advanced_w_rank,general_advanced_ast_pct,general_advanced_efg_pct,general_advanced_gp_rank,general_advanced_reb_pct,general_advanced_usg_pct,general_advanced_dreb_pct,general_advanced_fga_rank,general_advanced_fgm_rank,general_advanced_min_rank,general_advanced_oreb_pct,general_advanced_pie_rank,general_advanced_ast_ratio,general_advanced_e_tov_pct,general_advanced_e_usg_pct,general_advanced_pace_rank,general_advanced_def_rating,general_advanced_net_rating,general_advanced_off_rating,general_advanced_pace_per40,general_advanced_team_count,general_advanced_tm_tov_pct,general_advanced_w_pct_rank,general_advanced_ast_to_rank,general_advanced_e_pace_rank,general_advanced_fg_pct_rank,general_advanced_fga_pg_rank,general_advanced_fgm_pg_rank,general_advanced_ts_pct_rank,general_advanced_ast_pct_rank,general_advanced_e_def_rating,general_advanced_e_net_rating,general_advanced_e_off_rating,general_advanced_efg_pct_rank,general_advanced_reb_pct_rank,general_advanced_sp_work_pace,general_advanced_usg_pct_rank,general_advanced_dreb_pct_rank,general_advanced_oreb_pct_rank,general_advanced_ast_ratio_rank,general_advanced_e_tov_pct_rank,general_advanced_e_usg_pct_rank,general_advanced_def_rating_rank,general_advanced_net_rating_rank,general_advanced_off_rating_rank,general_advanced_tm_tov_pct_rank,general_advanced_e_def_rating_rank,general_advanced_e_net_rating_rank,general_advanced_e_off_rating_rank,general_advanced_sp_work_pace_rank,general_advanced_sp_work_def_rating,general_advanced_sp_work_net_rating,general_advanced_sp_work_off_rating,general_advanced_sp_work_def_rating_rank,general_advanced_sp_work_net_rating_rank,general_advanced_sp_work_off_rating_rank,general_scoring_l,general_scoring_w,general_scoring_gp,general_scoring_age,general_scoring_fga,general_scoring_fgm,general_scoring_min,general_scoring_w_pct,general_scoring_fg_pct,general_scoring_l_rank,general_scoring_w_rank,general_scoring_gp_rank,general_scoring_fga_rank,general_scoring_fgm_rank,general_scoring_min_rank,general_scoring_pct_pts_fb,general_scoring_pct_pts_ft,general_scoring_team_count,general_scoring_w_pct_rank,general_scoring_fg_pct_rank,general_scoring_pct_ast_2pm,general_scoring_pct_ast_3pm,general_scoring_pct_ast_fgm,general_scoring_pct_fga_2pt,general_scoring_pct_fga_3pt,general_scoring_pct_pts_2pt,general_scoring_pct_pts_3pt,general_scoring_pct_uast_2pm,general_scoring_pct_uast_3pm,general_scoring_pct_uast_fgm,general_scoring_pct_pts_paint,general_scoring_pct_pts_2pt_mr,general_scoring_pct_pts_fb_rank,general_scoring_pct_pts_ft_rank,general_scoring_pct_pts_off_tov,general_scoring_pct_ast_2pm_rank,general_scoring_pct_ast_3pm_rank,general_scoring_pct_ast_fgm_rank,general_scoring_pct_fga_2pt_rank,general_scoring_pct_fga_3pt_rank,general_scoring_pct_pts_2pt_rank,general_scoring_pct_pts_3pt_rank,general_scoring_pct_uast_2pm_rank,general_scoring_pct_uast_3pm_rank,general_scoring_pct_uast_fgm_rank,general_scoring_pct_pts_paint_rank,general_scoring_pct_pts_2pt_mr_rank,general_scoring_pct_pts_off_tov_rank,general_defense_l,general_defense_w,general_defense_gp,general_defense_age,general_defense_blk,general_defense_min,general_defense_stl,general_defense_dreb,general_defense_w_pct,general_defense_def_ws,general_defense_l_rank,general_defense_w_rank,general_defense_gp_rank,general_defense_pct_blk,general_defense_pct_stl,general_defense_blk_rank,general_defense_dreb_pct,general_defense_min_rank,general_defense_pct_dreb,general_defense_stl_rank,general_defense_dreb_rank,general_defense_def_rating,general_defense_def_ws_raw,general_defense_opp_pts_fb,general_defense_w_pct_rank,general_defense_def_ws_rank,general_defense_pct_blk_rank,general_defense_pct_stl_rank,general_defense_dreb_pct_rank,general_defense_opp_pts_paint,general_defense_pct_dreb_rank,general_defense_def_rating_rank,general_defense_opp_pts_fb_rank,general_defense_opp_pts_off_tov,general_defense_opp_pts_2nd_chance,general_defense_opp_pts_paint_rank,general_defense_opp_pts_off_tov_rank,general_defense_opp_pts_2nd_chance_rank,shooting_by_zone_corner_3_fga,shooting_by_zone_corner_3_fgm,shooting_by_zone_backcourt_fga,shooting_by_zone_backcourt_fgm,shooting_by_zone_mid-range_fga,shooting_by_zone_mid-range_fgm,shooting_by_zone_corner_3_fg_pct,shooting_by_zone_backcourt_fg_pct,shooting_by_zone_mid-range_fg_pct,shooting_by_zone_left_corner_3_fga,shooting_by_zone_left_corner_3_fgm,shooting_by_zone_right_corner_3_fga,shooting_by_zone_right_corner_3_fgm,shooting_by_zone_restricted_area_fga,shooting_by_zone_restricted_area_fgm,shooting_by_zone_left_corner_3_fg_pct,shooting_by_zone_above_the_break_3_fga,shooting_by_zone_above_the_break_3_fgm,shooting_by_zone_right_corner_3_fg_pct,shooting_by_zone_restricted_area_fg_pct,shooting_by_zone_above_the_break_3_fg_pct,shooting_by_zone_in_the_paint_(non-ra)_fga,shooting_by_zone_in_the_paint_(non-ra)_fgm,shooting_by_zone_in_the_paint_(non-ra)_fg_pct,defense_overall_gp,defense_overall_freq,defense_overall_d_fga,defense_overall_d_fgm,defense_overall_d_fg_pct,defense_overall_normal_fg_pct,defense_overall_pct_plusminus
3,2025,regular,11.0,21.0,32.0,1.7,32.0,1.5,0.6,3.0,4.3,2.2,2.5,1.5,22.8,2.2,5.8,8.6,0.7,0.0,1.1,0.3,4.1,0.0,0.0,4.5,0.656,0.504,0.58,432.0,292.0,0.0,400.0,275.0,303.0,120.0,128.0,386.0,365.0,135.0,202.0,226.0,143.0,362.0,25.0,269.0,38.0,239.0,338.0,102.0,548.0,517.0,2.0,6.1,1.0,125.0,150.0,511.0,517.0,21.3,29.0,210.0,11.0,21.0,32.0,32.0,139.0,70.0,22.8,0.1,97.69,1495.0,0.656,1.37,99.06,0.504,4.3,2.2,144.0,0.535,292.0,0.084,0.504,400.0,0.177,0.116,0.165,391.0,379.0,226.0,0.189,206.0,18.5,13.6,0.117,544.0,105.5,11.8,117.3,81.41,1.0,13.5,125.0,411.0,475.0,150.0,386.0,365.0,418.0,439.0,104.9,9.9,114.8,419.0,28.0,97.69,522.0,125.0,3.0,254.0,511.0,527.0,59.0,39.0,87.0,510.0,50.0,46.0,144.0,544.0,105.5,11.8,117.3,59.0,39.0,87.0,11.0,21.0,32.0,32.0,139.0,70.0,22.8,0.656,0.504,144.0,292.0,400.0,391.0,379.0,226.0,0.011,0.251,1.0,125.0,150.0,0.514,0.0,0.514,1.0,0.0,0.749,0.0,0.486,0.0,0.486,0.738,0.011,544.0,52.0,0.096,372.0,517.0,476.0,1.0,548.0,79.0,517.0,203.0,368.0,102.0,67.0,424.0,513.0,11.0,21.0,32.0,32.0,0.6,22.8,0.7,4.1,0.656,0.119,144.0,292.0,400.0,0.278,0.172,120.0,0.165,226.0,0.246,269.0,102.0,105.5,0.11938390862438968,6.0,125.0,36.0,145.0,359.0,125.0,22.1,144.0,59.0,271.0,9.3,7.0,324.0,394.0,349.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3.3,1.9,0.0,0.0,0.0,0.0,0.561,0.0,0.9,0.3,0.3,32.0,1.0,12.31,5.31,0.431,0.496,-0.065
4,2025,regular,36.0,37.0,73.0,1.7,28.0,3.2,0.7,35.0,15.7,6.9,5.8,4.5,32.4,4.6,20.1,10.0,1.2,0.0,1.6,0.5,8.0,5.5,1.7,2.0,0.507,0.442,0.778,102.0,136.0,0.318,78.0,292.0,129.0,109.0,8.0,37.0,52.0,30.0,36.0,45.0,26.0,43.0,15.0,75.0,38.0,130.0,177.0,7.0,86.0,124.0,60.0,4.5,1.0,301.0,343.0,284.0,369.0,40.8,51.0,25.0,36.0,37.0,73.0,28.0,1145.0,506.0,32.4,0.138,103.89,5127.0,0.507,1.93,104.63,0.442,15.7,6.9,472.0,0.551,136.0,0.142,0.497,78.0,0.146,0.248,0.236,23.0,31.0,45.0,0.059,53.0,13.8,7.1,0.254,133.0,111.0,6.1,117.1,86.57,1.0,7.1,301.0,234.0,101.0,343.0,37.0,52.0,370.0,243.0,110.3,6.0,116.3,439.0,60.0,103.89,67.0,24.0,168.0,416.0,94.0,69.0,210.0,101.0,94.0,92.0,171.0,95.0,100.0,133.0,111.0,6.1,117.1,210.0,101.0,94.0,36.0,37.0,73.0,28.0,1145.0,506.0,32.4,0.507,0.442,472.0,136.0,78.0,23.0,31.0,45.0,0.119,0.224,1.0,301.0,343.0,0.612,0.961,0.7,0.651,0.349,0.516,0.26,0.388,0.039,0.3,0.452,0.064,329.0,81.0,0.175,273.0,211.0,284.0,191.0,392.0,258.0,393.0,302.0,306.0,294.0,268.0,165.0,197.0,36.0,37.0,73.0,28.0,0.7,32.4,1.2,8.0,0.507,0.118,472.0,136.0,78.0,0.265,0.209,109.0,0.236,45.0,0.344,75.0,7.0,111.0,0.11814375648442485,9.0,301.0,37.0,159.0,231.0,24.0,34.2,32.0,210.0,456.0,10.1,8.8,532.0,444.0,460.0,1.8,0.6,0.0,0.0,1.8,0.6,0.318,0.0,0.359,1.2,0.4,0.6,0.2,3.9,2.7,0.326,3.7,1.2,0.304,0.683,0.317,4.5,1.9,0.416,73.0,1.0,14.97,6.82,0.456,0.488,-0.032
8,2025,regular,25.0,26.0,51.0,2.3,30.0,3.8,0.3,0.0,13.1,5.3,3.3,2.8,28.8,3.0,16.5,3.0,1.4,0.0,1.6,0.6,2.3,8.9,3.1,0.7,0.51,0.403,0.857,246.0,231.0,0.349,291.0,122.0,82.0,314.0,284.0,74.0,116.0,91.0,76.0,115.0,77.0,81.0,294.0,47.0,38.0,132.0,137.0,288.0,7.0,14.0,304.0,0.4,1.0,296.0,469.0,116.0,259.0,29.1,224.0,109.0,25.0,26.0,51.0,30.0,667.0,269.0,28.8,0.105,99.12,3037.0,0.51,2.35,99.42,0.403,13.1,5.3,326.0,0.568,231.0,0.206,0.522,291.0,0.051,0.231,0.081,108.0,145.0,115.0,0.023,179.0,19.2,8.1,0.24,473.0,113.8,0.1,113.9,82.6,1.0,8.2,296.0,143.0,458.0,469.0,74.0,116.0,319.0,129.0,113.4,0.2,113.6,362.0,494.0,99.12,89.0,484.0,430.0,229.0,153.0,86.0,335.0,252.0,188.0,152.0,327.0,245.0,189.0,473.0,113.8,0.1,113.9,335.0,252.0,188.0,25.0,26.0,51.0,30.0,667.0,269.0,28.8,0.51,0.403,326.0,231.0,291.0,108.0,145.0,115.0,0.105,0.171,1.0,296.0,469.0,0.445,0.78,0.643,0.318,0.682,0.262,0.567,0.555,0.22,0.357,0.243,0.019,368.0,203.0,0.203,435.0,422.0,368.0,522.0,61.0,513.0,92.0,140.0,95.0,210.0,495.0,369.0,100.0,25.0,26.0,51.0,30.0,0.3,28.8,1.4,2.3,0.51,0.083,326.0,231.0,291.0,0.107,0.234,314.0,0.081,115.0,0.137,47.0,288.0,113.8,0.08336422473220552,8.4,296.0,140.0,379.0,160.0,484.0,30.5,446.0,335.0,421.0,10.6,10.1,480.0,476.0,536.0,1.1,0.4,0.0,0.0,0.3,0.2,0.407,0.0,0.5,0.6,0.3,0.4,0.1,1.7,1.2,0.485,7.9,2.7,0.286,0.685,0.342,2.1,0.8,0.383,51.0,1.0,10.9,5.35,0.491,0.468,0.023
9,2025,regular,19.0,37.0,56.0,1.7,27.0,1.8,0.8,20.0,9.4,6.0,4.7,3.3,27.1,4.0,15.4,8.5,1.0,0.0,1.3,0.6,5.9,0.2,0.0,2.6,0.661,0.638,0.709,333.0,136.0,0.1,247.0,284.0,263.0,68.0,21.0,155.0,78.0,48.0,58.0,146.0,42.0,95.0,26.0,134.0,38.0,189.0,119.0,27.0,519.0,511.0,33.0,3.8,1.0,121.0,32.0,414.0,514.0,32.4,63.0,77.0,19.0,37.0,56.0,27.0,528.0,337.0,27.1,0.143,102.56,3248.0,0.661,1.33,103.37,0.638,9.4,6.0,236.0,0.669,136.0,0.092,0.639,247.0,0.152,0.196,0.202,166.0,98.0,146.0,0.097,37.0,12.1,9.2,0.198,225.0,112.9,6.4,119.3,85.47,1.0,9.1,121.0,421.0,176.0,32.0,155.0,78.0,50.0,407.0,111.6,7.2,118.8,55.0,49.0,102.56,184.0,53.0,76.0,472.0,224.0,200.0,283.0,89.0,50.0,212.0,245.0,79.0,42.0,225.0,112.9,6.4,119.3,283.0,89.0,50.0,19.0,37.0,56.0,27.0,528.0,337.0,27.1,0.661,0.638,236.0,136.0,247.0,166.0,98.0,146.0,0.074,0.216,1.0,121.0,32.0,0.818,1.0,0.819,0.981,0.019,0.781,0.003,0.182,0.0,0.181,0.747,0.035,460.0,93.0,0.17,48.0,1.0,124.0,48.0,535.0,57.0,515.0,527.0,368.0,454.0,63.0,279.0,213.0,19.0,37.0,56.0,27.0,0.8,27.1,1.0,5.9,0.661,0.087,236.0,136.0,247.0,0.313,0.21,68.0,0.202,146.0,0.315,134.0,27.0,112.9,0.08654215443169357,10.3,121.0,123.0,115.0,229.0,53.0,26.4,49.0,283.0,524.0,11.4,8.6,405.0,515.0,444.0,0.1,0.0,0.0,0.0,0.6,0.3,0.0,0.0,0.484,0.0,0.0,0.1,0.0,5.1,3.9,0.0,0.1,0.0,0.0,0.775,0.25,3.6,1.8,0.495,56.0,1.0,13.02,6.02,0.462,0.503,-0.04
12,2025,regular,28.0,15.0,43.0,2.2,32.0,2.9,0.6,0.0,4.7,2.5,1.6,1.1,19.8,1.5,6.2,3.5,1.0,0.0,0.9,0.3,2.5,0.3,0.1,1.0,0.349,0.53,0.706,205.0,365.0,0.364,342.0,135.0,144.0,127.0,284.0,364.0,330.0,251.0,268.0,298.0,240.0,352.0,246.0,108.0,38.0,296.0,343.0,262.0,517.0,491.0,207.0,-1.9,3.0,410.0,104.0,417.0,203.0,18.8,397.0,259.0,28.0,15.0,43.0,32.0,202.0,107.0,19.8,0.095,103.85,1844.0,0.349,3.23,103.83,0.53,4.7,2.5,364.0,0.573,365.0,0.204,0.54,342.0,0.084,0.131,0.121,349.0,330.0,298.0,0.047,236.0,31.7,9.8,0.135,139.0,111.6,-4.2,107.4,86.54,3.0,9.8,410.0,45.0,145.0,104.0,364.0,330.0,292.0,133.0,111.6,-4.2,107.5,291.0,258.0,103.85,480.0,277.0,219.0,35.0,279.0,482.0,230.0,357.0,434.0,277.0,243.0,352.0,446.0,139.0,111.6,-4.2,107.4,230.0,357.0,434.0,28.0,15.0,43.0,32.0,202.0,107.0,19.8,0.349,0.53,364.0,365.0,342.0,349.0,330.0,298.0,0.083,0.181,3.0,410.0,104.0,0.437,1.0,0.458,0.946,0.054,0.774,0.045,0.563,0.0,0.542,0.729,0.045,435.0,180.0,0.128,442.0,1.0,508.0,61.0,522.0,63.0,495.0,133.0,368.0,70.0,72.0,230.0,423.0,28.0,15.0,43.0,32.0,0.6,19.8,1.0,2.5,0.349,0.071,364.0,365.0,342.0,0.286,0.245,127.0,0.121,298.0,0.209,108.0,262.0,111.6,0.07139837653916066,5.8,410.0,200.0,134.0,142.0,277.0,20.5,223.0,230.0,257.0,7.5,7.1,292.0,284.0,352.0,0.2,0.1,0.0,0.0,0.2,0.1,0.375,0.0,0.667,0.1,0.0,0.1,0.0,1.5,0.9,0.5,0.1,0.0,0.25,0.615,0.333,2.7,1.3,0.487,43.0,1.0,7.63,3.63,0.476,0.467,0.009
15,2025,regular,19.0,17.0,36.0,2.4,31.0,5.4,0.7,19.0,16.6,10.4,9.9,6.4,28.9,8.1,27.6,9.8,0.9,0.0,3.2,1.0,7.1,1.3,0.4,2.7,0.472,0.624,0.65,333.0,334.0,0.333,384.0,99.0,41.0,110.0,25.0,28.0,4.0,2.0,8.0,114.0,1.0,9.0,17.0,143.0,38.0,13.0,35.0,16.0,430.0,415.0,29.0,2.7,1.0,345.0,40.0,474.0,302.0,49.1,98.0,5.0,19.0,17.0,36.0,31.0,598.0,373.0,28.9,0.213,99.9,2163.0,0.472,1.7,100.51,0.624,16.6,10.4,236.0,0.658,334.0,0.344,0.636,384.0,0.168,0.358,0.233,136.0,80.0,114.0,0.098,4.0,18.4,10.8,0.367,429.0,114.9,4.4,119.4,83.25,1.0,10.8,345.0,297.0,396.0,40.0,28.0,4.0,60.0,19.0,114.1,4.6,118.8,59.0,35.0,99.9,2.0,27.0,75.0,255.0,373.0,3.0,385.0,130.0,48.0,373.0,363.0,131.0,44.0,429.0,114.9,4.4,119.4,385.0,130.0,48.0,19.0,17.0,36.0,31.0,598.0,373.0,28.9,0.472,0.624,236.0,334.0,384.0,136.0,80.0,114.0,0.198,0.234,1.0,345.0,40.0,0.475,0.867,0.491,0.925,0.075,0.721,0.045,0.525,0.133,0.509,0.677,0.044,88.0,70.0,0.147,417.0,356.0,496.0,64.0,519.0,91.0,494.0,158.0,160.0,82.0,92.0,235.0,328.0,19.0,17.0,36.0,31.0,0.7,28.9,0.9,7.1,0.472,0.075,236.0,334.0,384.0,0.264,0.211,110.0,0.233,114.0,0.35,143.0,16.0,114.9,0.07513686765374313,8.6,345.0,187.0,160.0,226.0,27.0,27.1,27.0,385.0,432.0,10.1,8.1,418.0,447.0,410.0,0.0,0.0,0.0,0.0,2.3,0.6,1.0,0.0,0.268,0.0,0.0,0.0,0.0,11.2,8.6,1.0,1.2,0.4,0.0,0.774,0.318,1.9,0.7,0.362,36.0,1.0,9.47,4.11,0.434,0.483,-0.049
18,2025,regular,22.0,45.0,67.0,2.4,28.0,2.2,0.7,5.0,12.0,5.8,3.3,2.7,33.2,2.3,16.7,5.2,1.6,0.0,1.8,0.8,4.0,6.1,2.3,1.3,0.672,0.484,0.828,295.0,60.0,0.386,147.0,88.0,218.0,96.0,96.0,96.0,84.0,90.0,82.0,34.0,129.0,78.0,120.0,21.0,38.0,96.0,52.0,113.0,63.0,59.0,135.0,6.1,1.0,105.0,200.0,177.0,136.0,31.2,28.0,85.0,22.0,45.0,67.0,28.0,804.0,389.0,33.2,0.099,99.84,4618.0,0.672,1.18,99.77,0.484,12.0,5.8,279.0,0.62,60.0,0.09,0.581,147.0,0.078,0.194,0.116,73.0,74.0,34.0,0.039,209.0,12.4,10.5,0.198,433.0,110.2,9.2,119.4,83.2,1.0,10.5,105.0,463.0,435.0,200.0,96.0,84.0,122.0,416.0,110.3,9.1,119.4,143.0,286.0,99.84,191.0,300.0,284.0,461.0,338.0,197.0,168.0,58.0,47.0,338.0,172.0,57.0,34.0,433.0,110.2,9.2,119.4,168.0,58.0,47.0,22.0,45.0,67.0,28.0,804.0,389.0,33.2,0.672,0.484,279.0,60.0,147.0,73.0,74.0,34.0,0.134,0.164,1.0,105.0,200.0,0.668,0.968,0.789,0.494,0.506,0.415,0.421,0.332,0.032,0.211,0.385,0.03,275.0,227.0,0.142,200.0,198.0,172.0,371.0,212.0,387.0,217.0,375.0,319.0,406.0,340.0,309.0,353.0,22.0,45.0,67.0,28.0,0.7,33.2,1.6,4.0,0.672,0.133,279.0,60.0,147.0,0.255,0.283,96.0,0.116,34.0,0.172,21.0,113.0,110.2,0.13255170569199015,10.0,105.0,17.0,167.0,81.0,300.0,29.2,328.0,168.0,507.0,11.8,8.4,448.0,532.0,433.0,3.0,1.3,0.0,0.0,0.7,0.3,0.444,0.0,0.362,1.6,0.6,1.3,0.7,4.2,2.9,0.398,3.1,1.0,0.5,0.684,0.33,1.0,0.3,0.324,66.0,1.0,12.83,5.74,0.447,0.476,-0.028
22,2025,regular,26.0,46.0,72.0,2.2,27.0,0.8,1.0,22.0,8.3,5.6,2.0,1.3,27.2,1.6,12.5,8.0,0.6,0.0,1.2,0.4,5.4,0.0,0.0,2.6,0.639,0.671,0.645,232.0,52.0,0.0,84.0,151.0,447.0,48.0,20.0,194.0,95.0,202.0,236.0,142.0,213.0,147.0,33.0,337.0,38.0,230.0,261.0,39.0,548.0,517.0,34.0,-0.1,1.0,140.0,16.0,478.0,517.0,26.7,266.0,129.0,26.0,46.0,72.0,27.0,601.0,403.0,27.2,0.117,99.65,4060.0,0.639,0.71,100.69,0.671,8.3,5.6,338.0,0.676,52.0,0.044,0.671,84.0,0.154,0.164,0.2,134.0,61.0,142.0,0.103,107.0,7.3,10.3,0.167,443.0,115.5,0.1,115.6,83.04,1.0,10.3,140.0,539.0,382.0,16.0,194.0,95.0,41.0,559.0,113.8,1.0,114.8,29.0,48.0,99.65,324.0,57.0,62.0,559.0,320.0,337.0,407.0,250.0,131.0,316.0,348.0,229.0,142.0,443.0,115.5,0.1,115.6,407.0,250.0,131.0,26.0,46.0,72.0,27.0,601.0,403.0,27.2,0.639,0.671,338.0,52.0,84.0,134.0,61.0,142.0,0.072,0.101,1.0,140.0,16.0,0.801,0.0,0.801,1.0,0.0,0.899,0.0,0.199,0.0,0.199,0.865,0.033,465.0,425.0,0.169,61.0,517.0,151.0,1.0,548.0,11.0,517.0,514.0,368.0,427.0,11.0,287.0,216.0,26.0,46.0,72.0,27.0,1.0,27.2,0.6,5.4,0.639,0.066,338.0,52.0,84.0,0.412,0.115,48.0,0.2,142.0,0.302,337.0,39.0,115.5,0.06589469801394544,8.6,140.0,223.0,71.0,517.0,57.0,29.2,62.0,407.0,434.0,10.0,8.0,450.0,437.0,406.0,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.405,0.0,0.0,0.0,0.0,4.3,3.5,0.0,0.0,0.0,0.0,0.801,0.0,3.5,1.9,0.548,72.0,1.0,14.06,6.79,0.483,0.485,-0.001
24,2025,regular,44.0,16.0,60.0,2.1,27.0,1.4,0.7,6.0,6.9,4.2,2.4,1.6,20.0,2.0,10.5,6.1,0.5,0.0,1.0,0.5,3.6,0.9,0.4,2.5,0.267,0.618,0.66,43.0,348.0,0.462,214.0,191.0,325.0,95.0,84.0,254.0,170.0,156.0,189.0,290.0,160.0,196.0,74.0,405.0,38.0,255.0,178.0,141.0,471.0,419.0,36.0,-3.7,2.0,476.0,42.0,464.0,26.0,22.4,477.0,189.0,44.0,16.0,60.0,27.0,411.0,254.0,20.0,0.123,103.2,2588.0,0.267,1.39,103.49,0.618,6.9,4.2,533.0,0.661,348.0,0.107,0.647,214.0,0.143,0.18,0.171,222.0,156.0,290.0,0.116,87.0,13.7,9.8,0.184,182.0,119.0,-9.1,109.9,86.0,2.0,9.8,476.0,402.0,167.0,42.0,254.0,170.0,59.0,343.0,118.4,-8.5,109.9,48.0,64.0,103.2,245.0,110.0,43.0,420.0,280.0,255.0,499.0,460.0,365.0,276.0,496.0,453.0,358.0,182.0,119.0,-9.1,109.9,499.0,460.0,365.0,44.0,16.0,60.0,27.0,411.0,254.0,20.0,0.267,0.618,533.0,348.0,214.0,222.0,156.0,290.0,0.043,0.151,2.0,476.0,42.0,0.617,1.0,0.654,0.873,0.127,0.734,0.115,0.383,0.0,0.346,0.721,0.013,519.0,263.0,0.123,269.0,1.0,352.0,83.0,500.0,87.0,471.0,306.0,368.0,226.0,78.0,404.0,441.0,44.0,16.0,60.0,27.0,0.7,20.0,0.5,3.6,0.267,0.028,533.0,348.0,214.0,0.41,0.169,95.0,0.171,290.0,0.265,405.0,141.0,119.0,0.028386629990056735,8.0,476.0,466.0,72.0,370.0,110.0,21.7,113.0,499.0,400.0,7.7,6.6,319.0,302.0,307.0,0.2,0.1,0.0,0.0,0.1,0.1,0.5,0.0,1.0,0.1,0.1,0.1,0.0,4.3,3.0,0.667,0.7,0.3,0.25,0.705,0.452,1.6,0.7,0.454,60.0,1.0,10.18,4.7,0.462,0.491,-0.03
30,2025,regular,20.0,57.0,77.0,1.1,33.0,1.9,0.2,0.0,7.5,3.4,1.6,1.3,25.8,1.3,9.9,2.8,0.6,0.0,0.8,0.3,2.0,4.6,1.8,0.8,0.74,0.456,0.829,322.0,6.0,0.388,37.0,444.0,248.0,413.0,284.0,230.0,233.0,248.0,221.0,175.0,262.0,217.0,331.0,289.0,38.0,344.0,347.0,344.0,130.0,115.0,266.0,4.3,1.0,58.0,291.0,172.0,125.0,17.8,55.0,283.0,20.0,57.0,77.0,33.0,575.0,262.0,25.8,0.075,101.69,4209.0,0.74,2.43,102.45,0.456,7.5,3.4,251.0,0.608,6.0,0.097,0.577,37.0,0.051,0.144,0.071,149.0,149.0,175.0,0.03,391.0,17.6,7.3,0.146,301.0,110.6,7.8,118.4,84.74,1.0,7.3,58.0,133.0,255.0,291.0,230.0,233.0,166.0,381.0,110.0,7.2,117.2,155.0,492.0,101.69,410.0,528.0,362.0,281.0,101.0,433.0,182.0,73.0,67.0,98.0,163.0,78.0,74.0,301.0,110.6,7.8,118.4,182.0,73.0,67.0,20.0,57.0,77.0,33.0,575.0,262.0,25.8,0.74,0.456,251.0,6.0,37.0,149.0,149.0,175.0,0.09,0.133,1.0,58.0,291.0,0.634,0.978,0.817,0.377,0.623,0.322,0.545,0.366,0.022,0.183,0.301,0.021,416.0,328.0,0.118,251.0,179.0,128.0,484.0,99.0,481.0,116.0,324.0,338.0,450.0,448.0,363.0,462.0,20.0,57.0,77.0,33.0,0.2,25.8,0.6,2.0,0.74,0.099,251.0,6.0,37.0,0.053,0.158,413.0,0.071,175.0,0.105,289.0,344.0,110.6,0.09875921264595502,6.9,58.0,90.0,491.0,412.0,528.0,25.8,542.0,182.0,332.0,8.0,7.4,391.0,325.0,369.0,2.5,1.0,0.0,0.0,0.3,0.1,0.394,0.0,0.32,1.2,0.5,1.4,0.5,1.4,1.0,0.404,2.1,0.8,0.385,0.72,0.382,1.1,0.5,0.447,77.0,1.0,8.62,3.96,0.459,0.473,-0.014
